"time_period","ref_area","indicator","breakdown","unit_measure","value"
"2006","AT","eun_web","grade11gen","pc_schools","0.99"
"2006","AT","eun_web","grade11voc","pc_schools","0.959"
"2006","AT","eun_web","grade4","pc_schools","0.45"
"2006","AT","eun_web","grade8","pc_schools","0.807"
"2006","BE","eun_web","grade11gen","pc_schools","0.931"
"2006","BE","eun_web","grade11voc","pc_schools","0.944"
"2006","BE","eun_web","grade4","pc_schools","0.61"
"2006","BE","eun_web","grade8","pc_schools","0.92"
"2006","CY","eun_web","grade11gen","pc_schools","0.936"
"2006","CY","eun_web","grade11voc","pc_schools","1"
"2006","CY","eun_web","grade4","pc_schools","0.34"
"2006","CY","eun_web","grade8","pc_schools","0.875"
"2006","CZ","eun_web","grade11gen","pc_schools","0.994"
"2006","CZ","eun_web","grade11voc","pc_schools","0.992"
"2006","CZ","eun_web","grade4","pc_schools","0.63"
"2006","CZ","eun_web","grade8","pc_schools","0.789"
"2006","DK","eun_web","grade11gen","pc_schools","1"
"2006","DK","eun_web","grade11voc","pc_schools","1"
"2006","DK","eun_web","grade4","pc_schools","0.981"
"2006","DK","eun_web","grade8","pc_schools","0.981"
"2006","EE","eun_web","grade11gen","pc_schools","0.969"
"2006","EE","eun_web","grade11voc","pc_schools","0.807"
"2006","EE","eun_web","grade4","pc_schools","0.873"
"2006","EE","eun_web","grade8","pc_schools","0.939"
"2006","EL","eun_web","grade11gen","pc_schools","0.536"
"2006","EL","eun_web","grade11voc","pc_schools","0.638"
"2006","EL","eun_web","grade4","pc_schools","0.281"
"2006","EL","eun_web","grade8","pc_schools","0.51"
"2006","ES","eun_web","grade11gen","pc_schools","0.758"
"2006","ES","eun_web","grade11voc","pc_schools","0.604"
"2006","ES","eun_web","grade4","pc_schools","0.516"
"2006","ES","eun_web","grade8","pc_schools","0.628"
"2006","EU","eun_web","grade11gen","pc_schools","0.875"
"2006","EU","eun_web","grade11voc","pc_schools","0.851"
"2006","EU","eun_web","grade4","pc_schools","0.548"
"2006","EU","eun_web","grade8","pc_schools","0.755"
"2006","FI","eun_web","grade11gen","pc_schools","1"
"2006","FI","eun_web","grade11voc","pc_schools","0.97"
"2006","FI","eun_web","grade4","pc_schools","0.82"
"2006","FI","eun_web","grade8","pc_schools","0.959"
"2006","FR","eun_web","grade11gen","pc_schools","0.865"
"2006","FR","eun_web","grade11voc","pc_schools","0.826"
"2006","FR","eun_web","grade4","pc_schools","0.206"
"2006","FR","eun_web","grade8","pc_schools","0.648"
"2006","HU","eun_web","grade11gen","pc_schools","0.895"
"2006","HU","eun_web","grade11voc","pc_schools","0.932"
"2006","HU","eun_web","grade4","pc_schools","0.44"
"2006","IE","eun_web","grade11gen","pc_schools","0.716"
"2006","IE","eun_web","grade11voc","pc_schools","0.707"
"2006","IE","eun_web","grade4","pc_schools","0.278"
"2006","IE","eun_web","grade8","pc_schools","0.725"
"2006","IT","eun_web","grade11gen","pc_schools","0.883"
"2006","IT","eun_web","grade11voc","pc_schools","0.892"
"2006","IT","eun_web","grade4","pc_schools","0.652"
"2006","IT","eun_web","grade8","pc_schools","0.589"
"2006","LT","eun_web","grade11gen","pc_schools","0.848"
"2006","LT","eun_web","grade11voc","pc_schools","0.98"
"2006","LT","eun_web","grade4","pc_schools","0.538"
"2006","LT","eun_web","grade8","pc_schools","0.632"
"2006","LU","eun_web","grade11gen","pc_schools","1"
"2006","LU","eun_web","grade11voc","pc_schools","1"
"2006","LU","eun_web","grade4","pc_schools","0.569"
"2006","LU","eun_web","grade8","pc_schools","1"
"2006","LV","eun_web","grade11gen","pc_schools","0.617"
"2006","LV","eun_web","grade11voc","pc_schools","0.628"
"2006","LV","eun_web","grade4","pc_schools","0.363"
"2006","LV","eun_web","grade8","pc_schools","0.404"
"2006","MT","eun_web","grade11gen","pc_schools","0.696"
"2006","MT","eun_web","grade11voc","pc_schools","1"
"2006","MT","eun_web","grade4","pc_schools","0.563"
"2006","MT","eun_web","grade8","pc_schools","0.696"
"2006","NO","eun_web","grade11gen","pc_schools","1"
"2006","NO","eun_web","grade11voc","pc_schools","1"
"2006","NO","eun_web","grade4","pc_schools","0.772"
"2006","NO","eun_web","grade8","pc_schools","0.766"
"2006","PL","eun_web","grade11gen","pc_schools","0.856"
"2006","PL","eun_web","grade11voc","pc_schools","0.891"
"2006","PL","eun_web","grade4","pc_schools","0.547"
"2006","PL","eun_web","grade8","pc_schools","0.822"
"2006","PT","eun_web","grade11gen","pc_schools","0.857"
"2006","PT","eun_web","grade11voc","pc_schools","0.754"
